Akeal Hosein,530812,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
Odean Smith,820691,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
Alzarri Joseph,670031,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,West Indies
William Porterfield,24611,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
Paul Stirling,303427,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
Andy McBrine,417381,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
Harry Tector,961407,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
Neil Rock,1112535,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
Curtis Campher,595921,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
George Dockrell,348034,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
Gareth Delany,1099379,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
Mark Adair,526441,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
Craig Young,364343,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
,928067,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342,Ireland
Takudzwanashe Kaitano,493765,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
Regis Chakabva,293831,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
Craig Ervine,55412,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
Sean Williams,55870,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
Wessly Madhevere,938959,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
Sikandar Raza,299572,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
Ryan Burl,495964,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
Wellington Masakadza,571703,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
Blessing Muzarabani,827051,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
,425639,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343,Zimbabwe
