Romario Shepherd,677077,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Akeal Hosein,530812,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Odean Smith,820691,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Alzarri Joseph,670031,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
William Porterfield,24611,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Paul Stirling,303427,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Andy McBrine,417381,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Harry Tector,961407,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Neil Rock,1112535,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Curtis Campher,595921,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
George Dockrell,348034,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Gareth Delany,1099379,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Mark Adair,526441,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Craig Young,364343,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
,928067,https://www.espncricinfo.com/series/ireland-in-usa-and-west-indies-2021-22-1291182/west-indies-vs-ireland-3rd-odi-1277087/full-scorecard,West Indies,Ireland,Ireland,Kingston,2 wickets,"Jan 16, 2022","Jan 16, 2022",4342
Takudzwanashe Kaitano,493765,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343
Regis Chakabva,293831,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343
Craig Ervine,55412,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343
Sean Williams,55870,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343
Wessly Madhevere,938959,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343
Sikandar Raza,299572,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343
Ryan Burl,495964,https://www.espncricinfo.com/series/zimbabwe-in-sri-lanka-2021-22-1294726/sri-lanka-vs-zimbabwe-2nd-odi-1294970/full-scorecard,Sri Lanka,Zimbabwe,Zimbabwe,Pallekele,22 runs,"Jan 18, 2022","Jan 18, 2022",4343
